layer,rank,expert,macro_reap,reap_analects,reap_bible,reap_bofm,reap_dhamma,reap_gita,reap_quran,reap_tao,reap_upanishads
26,19,78,4.1005,11.2489,2.7793,3.1312,2.3509,2.3992,2.2679,6.0806,2.5456
26,20,235,3.9331,4.4871,4.0978,4.8563,4.0369,3.4803,2.7391,3.9035,3.8641
27,1,233,328.7281,493.6453,516.2595,24.9514,359.6091,512.0698,132.6983,552.7921,37.7992
27,2,151,8.0931,12.6549,2.8985,6.3685,15.076,7.1004,8.1295,0.3933,12.1239
27,3,203,7.3001,9.4938,7.9529,8.7337,6.9233,8.5031,6.2867,3.6148,6.8921
27,4,110,4.6766,5.7,4.5305,4.759,4.4403,4.2443,4.053,5.0465,4.6394
27,5,68,4.532,5.8594,4.4165,5.1042,4.2787,3.7378,4.6098,4.2576,3.9919
27,6,209,4.4673,4.9564,3.3658,4.0656,3.6995,4.4584,4.2861,4.367,6.54
27,7,138,4.4196,4.635,4.8707,4.851,4.6537,5.2675,4.339,1.5779,5.1624
27,8,112,4.2687,5.1375,3.1762,5.0871,2.8253,4.4401,4.87,2.1685,6.4448
27,9,211,4.2299,5.1534,2.9451,6.229,2.8998,5.2507,4.41,1.4899,5.4612
27,10,90,4.1943,4.9629,3.787,5.0204,2.4253,4.8034,3.6345,3.1943,5.7264
27,11,78,4.1839,2.7351,8.9917,6.6674,1.9266,1.6765,6.6865,2.1461,2.6413
27,12,174,3.9267,4.4156,3.242,3.2696,3.9045,4.8758,3.5081,3.5498,4.6479
27,13,202,3.7911,3.597,3.9623,4.1641,4.1611,3.8837,3.0314,3.2875,4.2416
27,14,46,3.7638,3.9195,4.147,3.7495,3.7016,3.8618,4.1626,2.6598,3.9083
27,15,239,3.7491,3.9144,3.5851,3.6636,4.2617,3.4235,3.4918,3.5504,4.1021
27,16,94,3.7112,4.687,3.6538,3.5016,3.1851,3.9165,3.1549,4.5244,3.0666
27,17,231,3.6379,4.7867,2.5301,5.0593,4.0484,4.9014,2.645,2.5343,2.5979
27,18,128,3.6249,4.186,3.9088,3.5409,3.4254,3.905,3.6186,3.1926,3.2217
27,19,102,3.6086,4.3312,3.2063,3.4425,3.4522,4.2503,3.614,3.1736,3.3988
27,20,155,3.5095,3.6016,3.452,3.5739,2.9925,3.8056,3.8501,3.1638,3.6364
28,1,32,114.2078,126.8284,141.5736,28.6951,114.2067,167.6821,117.7928,201.9124,14.9715
28,2,45,14.2105,15.0606,13.5099,15.4199,13.8934,15.0538,17.3666,8.5386,14.841
28,3,36,7.0754,7.7311,9.7137,8.8536,6.2463,4.7737,7.9939,2.3005,8.9907
28,4,250,5.7729,2.0367,2.7186,3.0842,8.9866,11.297,2.124,2.1126,13.8234
28,5,65,4.9003,4.4727,6.0679,5.5001,5.2912,4.1375,4.2273,4.7641,4.7419
28,6,233,4.875,8.505,4.6966,4.8575,4.5356,8.8724,3.3044,0.3135,3.9153
28,7,153,4.5884,5.1743,5.2161,7.2053,1.4663,5.8951,4.1658,2.1364,5.4483
28,8,100,4.5506,4.4595,2.7411,7.1806,1.9915,3.5086,7.9081,0.4637,8.1513
28,9,53,4.3665,4.5014,4.937,4.7665,4.632,4.918,3.7711,3.9617,3.4441
28,10,162,4.3294,4.2004,5.5312,4.5493,4.9201,3.8999,3.8013,3.83,3.9034
28,11,103,4.3017,3.8972,4.3894,6.0162,4.5583,3.9209,3.8631,3.1928,4.5754
28,12,145,4.2025,4.5658,5.6078,6.2729,4.9028,4.3165,2.5889,1.1163,4.2492
28,13,202,4.1462,2.8041,7.818,6.7676,3.0373,2.9923,3.8651,2.4095,3.4753
28,14,88,4.1048,3.4484,2.7739,7.7317,4.5847,4.0156,3.7775,4.874,1.6328
28,15,122,4.0673,5.3708,3.0813,3.0669,7.7584,2.7685,1.74,6.1788,2.5736
28,16,81,4.0143,3.9062,5.017,4.8161,4.4424,3.5813,2.9908,3.2824,4.0781
28,17,135,4.0073,3.9431,4.1649,4.5348,3.4182,3.8553,3.6006,3.8474,4.6941
28,18,123,3.8598,3.1958,3.7558,4.4753,3.5003,3.1376,3.0327,3.0337,6.7475
28,19,118,3.843,4.2278,3.6784,4.9967,3.987,3.9928,3.3497,2.7015,3.8102
28,20,112,3.6964,3.2415,3.9474,5.4167,4.3896,4.3359,2.5448,2.5536,3.1415
29,1,180,89.1755,61.8514,124.8982,67.4302,169.23,64.1276,51.3916,171.1794,3.2958
29,2,126,46.7133,49.8335,97.931,34.2699,6.3519,30.138,41.6374,108.1593,5.3853
29,3,193,10.2664,11.4188,18.4708,18.6812,2.9029,16.8536,4.7339,0.3066,8.7635
29,4,244,7.2679,7.5529,10.4355,9.4137,5.2432,6.4455,5.7128,6.7137,6.6263
29,5,8,7.2504,8.9489,10.9397,3.4784,1.8718,6.7324,8.5315,0.9293,16.5708
29,6,7,5.6356,3.8422,1.9793,2.1302,11.9428,8.8016,2.3915,6.3909,7.6063
29,7,0,nan,0.5804,2.5554,nan,2.0244,1.5243,nan,1.5085,2.9824
29,8,1,nan,1.5579,1.8685,nan,1.0603,1.8621,nan,0.383,1.4322
29,9,2,nan,2.1555,4.0177,nan,1.581,4.0444,nan,0.802,3.7997
29,10,3,nan,3.6049,5.2528,nan,3.2007,5.2252,nan,4.0982,4.3091
29,11,4,nan,5.6076,6.0795,nan,5.2235,6.0244,nan,5.802,6.687
29,12,5,nan,5.8728,3.9043,nan,4.1813,3.9276,nan,2.001,5.9652
29,13,19,6.3362,6.6206,8.9563,6.346,6.233,6.1614,5.2637,6.0125,5.0965
29,14,81,5.8261,6.5103,7.2232,5.7776,6.2328,5.5488,5.1162,3.9311,6.2691
29,15,157,5.5536,5.8574,6.3824,6.6901,4.2286,5.7487,4.755,5.5327,5.2336
29,16,255,5.2921,5.5949,6.016,7.1457,4.7545,4.9409,4.2933,4.3256,5.2658
29,17,163,5.2014,4.9848,5.4631,5.8231,3.3999,5.038,4.9516,4.8715,7.0795
29,18,94,5.1443,5.3456,5.9711,7.1209,4.5961,4.9013,4.2505,4.0743,4.8947
29,19,109,5.1133,5.4799,4.9409,5.5559,4.3533,5.3833,4.4055,5.1731,5.6147
29,20,13,5.0534,5.2219,6.0006,4.3075,3.33,5.6084,5.4506,5.999,4.5091
30,1,121,146.0905,364.2799,328.9712,19.1051,84.0706,5.1718,36.5208,320.7798,9.8249
30,2,45,5.9508,6.8323,6.8969,6.5194,4.5669,5.4303,4.6844,7.0482,5.6277
30,3,96,5.3982,6.0745,5.3665,5.6146,4.0988,4.7366,4.8175,6.1878,6.2898
30,4,41,5.3412,9.3869,7.0406,6.789,3.4015,3.4732,5.2128,1.7546,5.671
30,5,50,5.1227,4.5128,4.138,6.0279,1.6118,3.2023,8.3173,1.9363,11.2349
